iter	Logloss
0	0.5990448813
1	0.5298180584
2	0.4530925299
3	0.3995610817
4	0.3613917514
5	0.3224772024
6	0.2871553665
7	0.2549368872
8	0.2262970548
9	0.2051963671
10	0.1891937622
11	0.1786375115
12	0.1657569724
13	0.1536027648
14	0.1423455388
15	0.1321916789
16	0.124297592
17	0.1169353578
18	0.1079457349
19	0.1036802949
20	0.09776817563
21	0.09264420844
22	0.08683868149
23	0.08165211052
24	0.07718578207
25	0.07422144182
26	0.07113388949
27	0.06796714894
28	0.06474879933
29	0.06179709651
30	0.06015646194
31	0.05849470725
32	0.05718668272
33	0.05522687892
34	0.05312170357
35	0.05164795682
36	0.04995966329
37	0.04826666212
38	0.04660732826
39	0.04443320521
40	0.04307194338
41	0.04152501887
42	0.04055229548
43	0.0395476599
44	0.03806401896
45	0.03695195709
46	0.03601708108
47	0.03541050287
48	0.03401236311
49	0.03326974186
50	0.03247527044
51	0.03156954398
52	0.03090703673
53	0.02994148548
54	0.02922511618
55	0.02865552497
56	0.02801297999
57	0.02712714935
58	0.02656854376
59	0.02616046669
60	0.02562190248
61	0.02499798944
62	0.02465143081
63	0.02430271302
64	0.02378952563
65	0.02323504933
66	0.02275962337
67	0.02221991853
68	0.02150227003
69	0.02097650884
70	0.02046681521
71	0.01996361609
72	0.01951804738
73	0.0190693217
74	0.01860319488
75	0.01825235246
76	0.01777234758
77	0.01743286241
78	0.01712851179
79	0.01676508422
80	0.01653823579
81	0.01646506539
82	0.0161983417
83	0.01594801674
84	0.01562915188
85	0.01531625213
86	0.01497891872
87	0.01474470062
88	0.01450083274
89	0.01426623976
90	0.0140414622
91	0.01384014267
92	0.01371450206
93	0.01350367042
94	0.01332602769
95	0.01309329806
96	0.01284855585
97	0.01255062245
98	0.0123129777
99	0.01209165494
